DELTA_FT7,DELTA_FT8,DELTA_T7,DELTA_T8,DELTA_TP7,DELTA_TP8,DELTA_CP1,DELTA_CP2,DELTA_P1,DELTA_PZ,DELTA_P2,DELTA_PO3,DELTA_POZ,DELTA_PO4,DELTA_O1,DELTA_OZ,DELTA_O2,TETHA_FT7,TETHA_FT8,TETHA_T7,TETHA_T8,TETHA_TP7,TETHA_TP8,TETHA_CP1,TETHA_CP2,TETHA_P1,TETHA_PZ,TETHA_P2,TETHA_PO3,TETHA_POZ,TETHA_PO4,TETHA_O1,TETHA_OZ,TETHA_O2,ALPHA_FT7, ALPHA_FT8,ALPHA_T7,ALPHA_T8,ALPHA_TP7,ALPHA_TP8,ALPHA_CP1,ALPHA_CP2,ALPHA_P1,ALPHA_PZ,ALPHA_P2,ALPHA_PO3,ALPHA_POZ,ALPHA_PO4,ALPHA_O1,ALPHA_OZ,ALPHA_O2,BETA_FT7, BETA_FT8,BETA_T7,BETA_T8,BETA_TP7,BETA_TP8,BETA_CP1,BETA_CP2,BETA_P1,BETA_PZ,BETA_P2,BETA_PO3,BETA_POZ,BETA_PO4,BETA_O1,BETA_OZ,BETA_O2,GAMMA_FT7, GAMMA_FT8,GAMMA_T7,GAMMA_T8,GAMMA_TP7,GAMMA_TP8,GAMMA_CP1,GAMMA_CP2,GAMMA_P1,GAMMA_PZ,GAMMA_P2,GAMMA_PO3,GAMMA_POZ,GAMMA_PO4,GAMMA_O1,GAMMA_OZ,GAMMA_O2,percol,label
762540,618470,338500,541080,224160,220420,42995,1232.9,1308.7,1401.3,1422.2,4489.4,1449.5,28179,4579.7,5944.8,28256,114260,98837,65259,87955,51201,49577,12933,405.54,454.29,435.19,420.01,1261.2,423.46,8178.3,1337.4,1965,8441.6,45703,29994,55486,30467,27317,25948,5617.1,270.14,292.9,264.8,268.49,606.49,250.87,3380.5,571.43,959.42,3403.4,43427,36005,246590,51253,23938,28166,2955.1,212,216.48,204.66,205.73,388.92,207.41,2291.9,386.98,581.94,2325.2,26337,24002,182170,35069,15687,20735,1616.7,169.73,167.61,161.53,145.2,285.63,147.93,1452,271.42,373.35,1496.4,0.0441,0
762360,618460,338490,541040,224100,220320,42991,1232.9,1309.1,1401.6,1422.5,4487.9,1449.7,28184,4578.5,5940.7,28261,114220,98819,65247,87953,51212,49570,12929,405.54,454.26,435.23,419.89,1260.7,423.43,8179.2,1337,1964.5,8442.7,45682,29994,55483,30466,27321,25952,5617.3,270.17,292.98,264.89,268.57,606.66,250.94,3380.5,571.56,959.65,3403.6,43418,35991,246410,51232,23932,28158,2954,212,216.46,204.65,205.7,388.93,207.39,2291.3,386.96,581.84,2324.5,26326,23993,182010,35055,15679,20729,1616.1,169.74,167.62,161.52,145.2,285.64,147.92,1451.6,271.42,373.36,1495.7,0.044567,0
762400,618850,338530,541330,224170,220300,43006,1233.1,1309.5,1402.2,1422.8,4487.9,1450.3,28189,4578.6,5938.5,28267,114230,98830,65265,87979,51232,49581,12930,405.59,454.29,435.33,419.79,1260.1,423.44,8180.3,1336.8,1964.3,8444.1,45678,29999,55463,30471,27324,25956,5618.5,270.18,292.99,264.88,268.59,606.83,250.93,3380.2,571.67,959.88,3403.4,43412,35973,246230,51206,23924,28149,2953.4,211.99,216.47,204.64,205.66,388.9,207.34,2290.9,386.9,581.77,2323.9,26318,23983,181850,35041,15670,20720,1615.8,169.75,167.61,161.52,145.18,285.63,147.91,1451.1,271.38,373.39,1494.9,0.054537,0
762590,619570,338540,541900,224290,220380,43019,1234,1310.8,1403.5,1423.9,4490.6,1451.6,28207,4581.3,5939.4,28284,114210,98849,65261,88009,51251,49594,12933,405.53,454.18,435.35,419.68,1259.6,423.47,8182.7,1336.7,1964,8447,45671,30007,55432,30477,27322,25966,5619.6,270.18,293.02,264.91,268.64,606.94,250.96,3380.7,571.75,960.01,3403.9,43412,35949,246050,51170,23916,28130,2953.1,211.95,216.46,204.62,205.61,388.87,207.34,2290.5,386.84,581.72,2323.4,26310,23971,181700,35026,15665,20710,1615.5,169.74,167.61,161.51,145.19,285.67,147.92,1450.5,271.4,373.45,1494.2,0.068031,0
762600,619600,338420,541830,224400,220250,43031,1234.6,1311.9,1404.5,1424.8,4493.1,1452.7,28225,4583.8,5942.3,28302,114170,98832,65220,87993,51234,49600,12936,405.35,453.9,435.17,419.52,1259.2,423.45,8185.9,1336.5,1964.1,8450.8,45650,30009,55403,30477,27322,25983,5620.6,270.08,292.94,264.86,268.65,606.93,250.91,3382.2,571.78,960.26,3405.4,43416,35927,245900,51136,23911,28116,2952.6,211.92,216.47,204.6,205.57,388.89,207.34,2290.3,386.83,581.68,2323.3,26307,23958,181600,35010,15663,20700,1615.6,169.74,167.61,161.49,145.18,285.71,147.93,1450.2,271.41,373.48,1493.5,0.080935,0
762480,619300,338200,541570,224360,220150,43024,1234.3,1311.3,1403.6,1423.9,4491.7,1452.3,28236,4582.1,5941.4,28313,114120,98778,65189,87946,51229,49592,12939,405.17,453.62,434.96,419.35,1258.4,423.43,8184.8,1335.9,1963.2,8449.8,45621,30001,55383,30469,27325,25981,5620.7,270.04,292.94,264.9,268.68,607.05,250.9,3382.8,571.95,960.55,3405.9,43417,35904,245770,51102,23907,28102,2952.1,211.91,216.49,204.6,205.57,388.89,207.39,2289.8,386.84,581.51,2322.9,26307,23949,181540,34997,15661,20692,1615.8,169.73,167.59,161.48,145.17,285.75,147.94,1449.8,271.41,373.46,1493,0.089155,0
762360,619040,338070,541310,224350,220110,43010,1234.6,1311.5,1403.5,1423.9,4491.4,1452.7,28235,4582,5942.3,28311,114100,98752,65196,87922,51245,49596,12939,405,453.5,434.87,419.3,1258.2,423.29,8183.6,1335.7,1962.9,8448.9,45607,29996,55383,30465,27332,25980,5620.9,270.04,293.03,264.97,268.77,607.35,250.96,3382.8,572.19,960.87,3406,43414,35892,245720,51085,23905,28097,2952,211.91,216.51,204.59,205.59,388.9,207.45,2289.5,386.82,581.47,2322.7,26308,23941,181530,34985,15660,20686,1615.7,169.71,167.57,161.47,145.15,285.73,147.93,1449.7,271.37,373.42,1492.8,0.092013,0
1793100,3222100,1050800,2097100,779320,615330,101180,4562.3,4207.7,4437.6,4555.7,13895,4468.7,123230,14505,23554,125930,195400,210010,111060,176450,86645,82566,15743,1118.6,1132.3,1148.5,1135.9,2280.5,1154.9,10422,2288.9,3320.7,10706,58326,50923,66386,50405,40207,63202,6747.6,325.72,345.28,329.53,348.61,762.54,331.63,5444.6,762.8,1385.3,5567.3,62976,54318,330980,70280,40038,60941,4393.4,215.24,231.45,221.89,234.77,628.87,223.35,4950.1,628.85,1279.8,4980.7,49490,39844,465390,54566,29028,33927,2515.3,142.68,159.43,134.75,138.17,456.47,150.83,4866.2,425.9,1045.4,4982.1,0.087594,0
1794000,3224200,1051300,2098100,779630,615620,101230,4565.3,4210.4,4440.6,4558.8,13905,4471.9,123290,14516,23569,126000,195440,210110,111090,176530,86659,82601,15746,1119.4,1133,1149.4,1136.7,2281.9,1155.8,10425,2290.2,3322.5,10709,58329,50934,66409,50416,40212,63228,6747.5,325.8,345.38,329.67,348.73,762.72,331.75,5447.2,763.13,1385.8,5570.1,62992,54334,331080,70299,40040,60971,4394.4,215.27,231.41,221.9,234.8,629.08,223.38,4952.8,629.1,1280.5,4983.3,49515,39865,465680,54593,29042,33941,2516.1,142.67,159.43,134.77,138.2,456.63,150.85,4869.5,426.09,1046,4985.4,0.082936,0
1795500,3229000,1052100,2100900,780370,616360,101350,4570.7,4215.3,4445.5,4563.6,13922,4477.1,123440,14533,23599,126150,195590,210270,111190,176660,86688,82644,15748,1120.7,1134.2,1150.7,1138.1,2284.2,1157.2,10431,2292.3,3325.1,10714,58364,50967,66453,50446,40234,63292,6745.3,326.02,345.56,329.97,348.98,763.14,332.01,5451.3,763.8,1386.8,5574.5,63028,54376,331280,70349,40058,61042,4396.4,215.32,231.34,221.9,234.87,629.51,223.4,4958.7,629.55,1281.9,4989.1,49568,39906,466250,54645,29069,33972,2518.1,142.65,159.38,134.76,138.22,456.93,150.84,4875.7,426.37,1047.1,4991.8,0.07929,0
