DELTA_FT7,DELTA_FT8,DELTA_T7,DELTA_T8,DELTA_TP7,DELTA_TP8,DELTA_CP1,DELTA_CP2,DELTA_P1,DELTA_PZ,DELTA_P2,DELTA_PO3,DELTA_POZ,DELTA_PO4,DELTA_O1,DELTA_OZ,DELTA_O2,TETHA_FT7,TETHA_FT8,TETHA_T7,TETHA_T8,TETHA_TP7,TETHA_TP8,TETHA_CP1,TETHA_CP2,TETHA_P1,TETHA_PZ,TETHA_P2,TETHA_PO3,TETHA_POZ,TETHA_PO4,TETHA_O1,TETHA_OZ,TETHA_O2,ALPHA_FT7, ALPHA_FT8,ALPHA_T7,ALPHA_T8,ALPHA_TP7,ALPHA_TP8,ALPHA_CP1,ALPHA_CP2,ALPHA_P1,ALPHA_PZ,ALPHA_P2,ALPHA_PO3,ALPHA_POZ,ALPHA_PO4,ALPHA_O1,ALPHA_OZ,ALPHA_O2,BETA_FT7, BETA_FT8,BETA_T7,BETA_T8,BETA_TP7,BETA_TP8,BETA_CP1,BETA_CP2,BETA_P1,BETA_PZ,BETA_P2,BETA_PO3,BETA_POZ,BETA_PO4,BETA_O1,BETA_OZ,BETA_O2,GAMMA_FT7, GAMMA_FT8,GAMMA_T7,GAMMA_T8,GAMMA_TP7,GAMMA_TP8,GAMMA_CP1,GAMMA_CP2,GAMMA_P1,GAMMA_PZ,GAMMA_P2,GAMMA_PO3,GAMMA_POZ,GAMMA_PO4,GAMMA_O1,GAMMA_OZ,GAMMA_O2,percol,label
813930,663930,483530,641870,489810,550590,148360,2558.9,155310,127580,130600,427300,295660,298650,763780,656480,618650,113290,59273,87077,57890,87731,75229,18743,451.64,19587,13540,13443,53830,39997,41166,109260,95303,81692,76170,40424,46959,37719,45792,39223,13352,249.54,13663,9437.5,9452.3,41190,29258,32934,56433,43504,43447,137360,48704,75267,43076,66991,31528,5420.1,218.59,5616.8,3398.5,3414.3,18110,11114,11943,32867,20192,20525,81257,43367,40922,39676,36178,19024,1995.9,140.81,2023.3,912.75,891.96,10178,4383.2,2765.8,22069,6604.7,6381.2,0.18955,0
814180,663930,483660,641840,489940,550640,148460,2559.4,155420,127680,130690,427570,295860,298820,764220,656840,618990,113270,59261,87042,57878,87701,75233,18748,451.79,19593,13539,13444,53843,40005,41169,109280,95320,81702,76156,40418,46974,37713,45807,39227,13358,249.59,13669,9440.6,9455.9,41201,29267,32945,56437,43510,43454,137320,48684,75259,43058,66987,31530,5420.4,218.6,5616.9,3398.5,3414.5,18113,11115,11946,32876,20197,20531,81225,43353,40912,39662,36169,19025,1996.2,140.82,2023.6,912.93,892.14,10180,4384,2766.3,22074,6604.5,6382.1,0.21895,0
814880,664340,483980,642220,490270,550970,148640,2561.1,155600,127860,130880,428030,296190,299160,764880,657350,619500,113280,59280,87029,57895,87690,75273,18755,452.08,19601,13545,13450,53872,40027,41189,109330,95377,81745,76166,40420,46998,37715,45832,39234,13363,249.72,13674,9446.1,9462,41222,29287,32966,56465,43531,43475,137270,48662,75256,43040,66986,31531,5420.9,218.62,5617.2,3399.2,3415.3,18121,11119,11949,32896,20203,20537,81176,43342,40901,39650,36160,19027,1997.1,140.83,2024.5,913.25,892.52,10186,4386.2,2767.3,22090,6605.5,6384.2,0.23521,0
814360,663240,483470,641130,489760,550110,148500,2561.4,155450,127780,130780,427690,296040,298920,764460,656900,619030,113220,59281,87003,57896,87666,75298,18752,452.04,19598,13551,13457,53882,40047,41209,109350,95392,81769,76121,40417,47010,37713,45845,39227,13365,249.83,13678,9443.6,9459,41236,29298,32958,56483,43524,43465,137190,48619,75215,43003,66954,31528,5421.1,218.62,5617.1,3399.9,3416.1,18125,11122,11952,32903,20207,20542,81115,43320,40876,39631,36137,19022,1997.7,140.82,2025.3,913.29,892.62,10192,4388,2767.4,22100,6603.6,6384.3,0.25401,0
813870,662190,483110,640100,489400,549370,148380,2562.4,155310,127670,130670,427290,295740,298600,763920,656300,618510,113180,59269,86959,57886,87623,75299,18750,452.03,19595,13556,13462,53886,40061,41221,109330,95379,81777,76071,40410,47015,37708,45849,39224,13369,249.97,13682,9441.2,9456.1,41258,29306,32946,56508,43524,43457,137160,48585,75193,42974,66936,31521,5422.4,218.57,5618.1,3401.1,3417.4,18131,11125,11954,32916,20212,20547,81088,43301,40863,39613,36126,19014,1998.4,140.79,2026,913.53,892.83,10202,4391.1,2767.3,22119,6601.8,6384.1,0.27265,0
813870,661640,482930,639560,489220,548900,148320,2564.9,155250,127610,130610,427040,295510,298380,763570,655850,618180,113150,59257,86920,57876,87584,75313,18746,452.08,19593,13564,13470,53891,40079,41241,109300,95368,81788,76039,40414,47022,37713,45856,39218,13373,250.09,13686,9441.1,9455.7,41276,29315,32935,56532,43531,43452,137120,48565,75184,42959,66931,31523,5425.1,218.54,5620.6,3402.9,3419.4,18143,11131,11959,32942,20224,20561,81074,43299,40861,39613,36123,19012,1999.6,140.8,2027.2,914.11,893.33,10215,4395.7,2768.2,22146,6602.7,6387.2,0.28005,0
814300,661500,483050,639420,489350,548740,148360,2564.3,155280,127630,130630,427080,295440,298340,763660,655780,618220,113130,59243,86898,57864,87563,75341,18745,452.12,19591,13572,13478,53895,40095,41263,109300,95390,81820,76020,40431,47026,37731,45861,39229,13375,250.08,13689,9442.3,9456.8,41295,29327,32940,56562,43546,43463,137110,48571,75203,42966,66949,31532,5428,218.52,5623.4,3405,3421.4,18157,11139,11966,32971,20239,20575,81089,43324,40872,39637,36133,19017,2001.1,140.8,2028.7,914.98,894.14,10229,4401.5,2770.3,22176,6605.9,6392.6,0.28413,0
562390,386350,393800,379610,402010,382880,116830,2491.9,125630,114170,113330,353300,345060,275390,9597100,3118100,513640,105550,71786,88213,70692,89302,81089,23169,541.18,23876,14660,14765,66105,46528,45974,149890,107240,85288,48947,42738,40819,41643,40095,46427,14232,272.44,14877,10737,10732,61665,41222,43466,90005,44646,82092,85798,38023,51625,34370,46329,25611,5784.4,247.55,6009.8,4185.8,4270.6,28722,17809,19633,55712,20468,50693,49753,32016,30470,29210,26524,11308,2513.3,157.52,2554.8,1273,1267.4,16570,8042,7665,39806,7168.4,29018,0.28574,0
562310,386050,393670,379270,401850,382300,116740,2485.4,125540,114100,113250,353060,344950,275300,9545100,3103000,513320,105500,71770,88157,70677,89246,81058,23158,541.33,23865,14655,14761,66053,46491,45950,149600,107130,85244,48922,42694,40804,41601,40079,46384,14210,272.44,14854,10731,10727,61507,41160,43437,89788,44599,81942,85782,37965,51611,34313,46313,25576,5776,247.55,6001,4182.4,4267.2,28644,17776,19610,55546,20433,50600,49749,31933,30455,29131,26510,11284,2508.7,157.52,2550,1270.8,1265.1,16527,8021.2,7652.3,39712,7155.3,28969,0.28304,0
562240,385790,393750,378990,401910,381880,116690,2479.9,125480,114020,113170,352830,344830,275130,9502100,3090500,513000,105470,71759,88128,70666,89216,81037,23146,541.61,23853,14646,14753,66002,46456,45917,149360,107040,85193,48908,42647,40800,41554,40073,46324,14192,272.47,14834,10724,10720,61378,41101,43388,89610,44557,81818,85749,37913,51589,34261,46292,25533,5768.3,247.56,5992.9,4178.5,4263.3,28578,17748,19591,55409,20400,50536,49729,31858,30434,29060,26491,11262,2505,157.54,2546.1,1269.2,1263.5,16495,8006.1,7645.6,39646,7145.3,28945,0.27898,0
