DELTA_FT7,DELTA_FT8,DELTA_T7,DELTA_T8,DELTA_TP7,DELTA_TP8,DELTA_CP1,DELTA_CP2,DELTA_P1,DELTA_PZ,DELTA_P2,DELTA_PO3,DELTA_POZ,DELTA_PO4,DELTA_O1,DELTA_OZ,DELTA_O2,TETHA_FT7,TETHA_FT8,TETHA_T7,TETHA_T8,TETHA_TP7,TETHA_TP8,TETHA_CP1,TETHA_CP2,TETHA_P1,TETHA_PZ,TETHA_P2,TETHA_PO3,TETHA_POZ,TETHA_PO4,TETHA_O1,TETHA_OZ,TETHA_O2,ALPHA_FT7, ALPHA_FT8,ALPHA_T7,ALPHA_T8,ALPHA_TP7,ALPHA_TP8,ALPHA_CP1,ALPHA_CP2,ALPHA_P1,ALPHA_PZ,ALPHA_P2,ALPHA_PO3,ALPHA_POZ,ALPHA_PO4,ALPHA_O1,ALPHA_OZ,ALPHA_O2,BETA_FT7, BETA_FT8,BETA_T7,BETA_T8,BETA_TP7,BETA_TP8,BETA_CP1,BETA_CP2,BETA_P1,BETA_PZ,BETA_P2,BETA_PO3,BETA_POZ,BETA_PO4,BETA_O1,BETA_OZ,BETA_O2,GAMMA_FT7, GAMMA_FT8,GAMMA_T7,GAMMA_T8,GAMMA_TP7,GAMMA_TP8,GAMMA_CP1,GAMMA_CP2,GAMMA_P1,GAMMA_PZ,GAMMA_P2,GAMMA_PO3,GAMMA_POZ,GAMMA_PO4,GAMMA_O1,GAMMA_OZ,GAMMA_O2,percol,label
1957200,1190100,964180,752040,503500,796080,49933,74524,139310,171020,253830,447800,526100,662670,921930,1028500,1107800,287880,177130,173730,144930,137380,158500,10459,12976,33915,38319,53647,95188,88683,111980,164940,159280,171900,102770,92883,93996,78695,78324,87107,7308.1,10248,19866,18469,27836,56801,50208,68470,77810,79042,87005,42202,56317,38265,24235,24590,29084,3037.1,3943.1,8787.3,7344.5,10426,25103,19372,24112,32442,28480,32275,22026,50169,23397,7258.5,6290.3,7874.5,750.61,1051.4,1988,1753.9,2328.3,5208.1,4214.5,5878.5,8016.9,6736.7,12117,0.42842,1
1957600,1190200,964360,752330,503620,796480,49916,74523,139360,171090,253980,447970,526330,663000,922250,1028900,1108300,287950,177160,173780,144930,137400,158480,10460,12973,33913,38303,53636,95188,88667,111960,164930,159270,171870,102750,92880,93965,78682,78297,87076,7308.2,10250,19866,18469,27838,56791,50197,68454,77787,79015,86975,42202,56307,38258,24235,24586,29085,3036.3,3942.8,8785.9,7343.3,10427,25100,19373,24113,32443,28482,32275,22025,50163,23400,7257.9,6289.2,7871.8,750.47,1050.8,1987.7,1753.5,2327.4,5207.4,4213.9,5876.9,8017.5,6736.6,12116,0.45182,1
1957800,1189800,963550,751960,503280,796190,49880,74473,139400,171120,254060,448000,526330,662850,922090,1028600,1108100,288070,177110,173840,144910,137460,158500,10459,12970,33910,38286,53637,95198,88667,111970,164990,159330,171930,102730,92875,93928,78674,78280,87052,7308.5,10254,19862,18469,27847,56770,50185,68446,77765,78990,86952,42204,56282,38248,24232,24585,29088,3036.5,3942.9,8786.6,7343.5,10429,25102,19376,24118,32448,28488,32282,22015,50124,23401,7255,6289.4,7869.5,750.42,1050.2,1987.5,1753.2,2326.7,5207.1,4213.9,5876.4,8021,6738.5,12120,0.47255,1
1957900,1189500,962390,751620,502890,796010,49849,74455,139470,171220,254200,448150,526510,662950,922140,1028600,1108100,288170,177130,173890,144950,137560,158580,10459,12971,33913,38268,53604,95226,88676,112000,165090,159420,172030,102720,92877,93896,78675,78265,87044,7309.1,10257,19863,18468,27839,56763,50180,68441,77758,78983,86946,42205,56248,38240,24232,24588,29092,3036.4,3943,8787.4,7343.6,10427,25105,19380,24124,32459,28500,32296,22002,50088,23401,7253,6288.5,7867.9,750.18,1049.8,1986.8,1752.7,2325.8,5206.2,4213.8,5876.8,8026.3,6742.1,12131,0.49099,1
1957700,1189000,961740,751150,502640,796050,49837,74442,139500,171310,254360,448300,526800,663080,922420,1029000,1108500,288110,177110,173810,144940,137570,158640,10458,12975,33910,38251,53585,95231,88680,112040,165150,159480,172110,102640,92871,93820,78656,78216,87028,7308.8,10258,19858,18465,27835,56744,50167,68438,77736,78965,86931,42204,56224,38231,24229,24583,29099,3036.6,3943.7,8788.3,7344,10428,25109,19383,24133,32468,28509,32312,21990,50063,23399,7252.3,6287.4,7867.9,749.91,1049.7,1986.3,1752.5,2325.7,5206.3,4214.9,5879.4,8034.1,6748,12148,0.4968,1
1958000,1189300,961480,751150,502710,796360,49837,74462,139540,171430,254570,448530,527150,663340,923000,1029600,1109300,288080,177130,173790,144980,137610,158760,10454,12978,33899,38237,53584,95229,88694,112110,165240,159590,172240,102580,92876,93756,78644,78172,87019,7308.5,10261,19856,18465,27834,56733,50163,68441,77715,78953,86923,42208,56205,38229,24231,24580,29106,3036.7,3944.7,8789.1,7345.2,10429,25112,19388,24141,32482,28521,32331,21982,50048,23397,7252.4,6286.5,7869.2,749.81,1049.7,1986.3,1752.7,2325.8,5207.5,4217.4,5883.1,8044.9,6756.3,12170,0.48861,1
1958100,1189100,961330,751120,502750,796610,49852,74476,139540,171470,254680,448530,527370,663440,923400,1030100,1109900,288030,177160,173780,145010,137680,158840,10451,12979,33898,38235,53587,95236,88710,112150,165340,159690,172360,102530,92863,93705,78625,78136,86993,7307.6,10261,19852,18464,27832,56717,50149,68425,77691,78930,86903,42215,56197,38230,24234,24576,29114,3036.5,3945.5,8790.2,7346.6,10431,25115,19394,24149,32499,28536,32355,21980,50044,23398,7252.3,6286,7870.9,749.75,1049.6,1986.4,1752.9,2326.2,5209.1,4220.7,5888.1,8057.5,6765.6,12198,0.47827,1
2083900,1148100,801060,707960,410900,840740,53249,85029,154420,199160,315480,466250,643710,835830,1020000,1221500,1344800,246430,181740,156560,151320,143720,176410,12159,18552,38915,41089,55203,113560,108880,135580,196320,198640,209150,108010,115560,100780,97935,90953,102420,8917.4,10501,22552,17735,26855,63492,49426,66525,91005,84605,90853,63638,113910,68159,30184,30928,33102,3002.1,4223.8,9061.8,7980.5,11241,27032,22100,29089,35485,29002,32788,55906,159180,77940,15701,12819,11823,906.52,1137.5,2018.7,1713.5,2418.8,5560.7,4250.6,5745.5,11312,7440.8,9155.4,0.46921,1
2083300,1148200,800990,708000,410960,840880,53280,85048,154450,199140,315490,466360,643740,835970,1020300,1221700,1345100,246400,181630,156530,151230,143700,176330,12160,18556,38925,41100,55217,113570,108900,135600,196280,198600,209090,107990,115550,100750,97930,90917,102430,8909.4,10497,22542,17730,26857,63475,49423,66538,90988,84606,90864,63663,113960,68192,30186,30927,33100,3001.8,4222.7,9060.6,7979.3,11239,27026,22094,29082,35480,28998,32785,55948,159300,77999,15708,12824,11827,906.62,1137.7,2018.5,1713.2,2418.8,5560.5,4250.3,5745.2,11316,7442.3,9155.1,0.4609,1
2082200,1148100,800700,707950,411040,840760,53322,85062,154440,199020,315370,466260,643470,835850,1020400,1221500,1345000,246320,181520,156490,151110,143630,176190,12162,18563,38934,41116,55233,113550,108890,135580,196160,198500,208960,107960,115490,100720,97880,90872,102410,8902.2,10493,22535,17728,26856,63462,49420,66540,90966,84597,90861,63712,114080,68264,30198,30931,33097,3001.8,4221.6,9058,7977.9,11236,27011,22085,29071,35471,28994,32784,56028,159540,78118,15725,12836,11835,906.82,1138,2018.2,1713.2,2419.1,5560.2,4250.6,5745.5,11324,7445.6,9156.2,0.45367,1
