DELTA_FT7,DELTA_FT8,DELTA_T7,DELTA_T8,DELTA_TP7,DELTA_TP8,DELTA_CP1,DELTA_CP2,DELTA_P1,DELTA_PZ,DELTA_P2,DELTA_PO3,DELTA_POZ,DELTA_PO4,DELTA_O1,DELTA_OZ,DELTA_O2,TETHA_FT7,TETHA_FT8,TETHA_T7,TETHA_T8,TETHA_TP7,TETHA_TP8,TETHA_CP1,TETHA_CP2,TETHA_P1,TETHA_PZ,TETHA_P2,TETHA_PO3,TETHA_POZ,TETHA_PO4,TETHA_O1,TETHA_OZ,TETHA_O2,ALPHA_FT7, ALPHA_FT8,ALPHA_T7,ALPHA_T8,ALPHA_TP7,ALPHA_TP8,ALPHA_CP1,ALPHA_CP2,ALPHA_P1,ALPHA_PZ,ALPHA_P2,ALPHA_PO3,ALPHA_POZ,ALPHA_PO4,ALPHA_O1,ALPHA_OZ,ALPHA_O2,BETA_FT7, BETA_FT8,BETA_T7,BETA_T8,BETA_TP7,BETA_TP8,BETA_CP1,BETA_CP2,BETA_P1,BETA_PZ,BETA_P2,BETA_PO3,BETA_POZ,BETA_PO4,BETA_O1,BETA_OZ,BETA_O2,GAMMA_FT7, GAMMA_FT8,GAMMA_T7,GAMMA_T8,GAMMA_TP7,GAMMA_TP8,GAMMA_CP1,GAMMA_CP2,GAMMA_P1,GAMMA_PZ,GAMMA_P2,GAMMA_PO3,GAMMA_POZ,GAMMA_PO4,GAMMA_O1,GAMMA_OZ,GAMMA_O2,percol,label
9.49E+05,7.73E+05,5.09E+05,4.25E+05,4.25E+05,2.18E+05,19206,26467,50106,2615.7,61119,2.70E+05,2.43E+05,2.20E+05,2.73E+05,2.73E+05,2.22E+05,79902,1.12E+05,66814,72472,77326,57131,4993.1,5775.7,16295,435.26,22374,65083,45889,63233,64387,65517,63859,38806,37942,41081,62903,30282,30943,3065.2,3373.2,7992.6,290.34,9516.3,24511,20914,38620,24412,24778,39029,31626,18966,49371,1.27E+05,15499,25702,974.06,1270.4,2841.9,192.95,2668.8,6700.9,7492.5,17806,6693.8,6640.7,17712,31485,16336,53133,1.52E+05,10834,25965,448.62,786.12,2006.9,141,1207.5,2559.9,4006,11879,2513.7,2399.2,11878,0.10517,0
9.49E+05,7.73E+05,5.09E+05,4.25E+05,4.25E+05,2.18E+05,19203,26447,50119,2612.2,61145,2.70E+05,2.42E+05,2.20E+05,2.73E+05,2.74E+05,2.22E+05,79919,1.12E+05,66834,72479,77331,57138,4989.2,5775.5,16294,435.27,22382,65099,45816,63203,64402,65533,63828,38771,37923,41062,62886,30258,30931,3065.3,3372.8,7989.1,290.31,9516.2,24517,20870,38554,24418,24785,38961,31609,18947,49334,1.27E+05,15483,25682,973.38,1269.4,2836.7,192.92,2666.8,6700.6,7470.8,17744,6693.5,6640.3,17651,31466,16319,53092,1.52E+05,10826,25937,448.32,784.48,1998.7,140.96,1205.5,2555.6,3989,11826,2509.5,2395.8,11825,0.10587,0
9.50E+05,7.74E+05,5.09E+05,4.25E+05,4.25E+05,2.18E+05,19203,26438,50138,2609.8,61186,2.70E+05,2.42E+05,2.21E+05,2.73E+05,2.74E+05,2.22E+05,79968,1.12E+05,66873,72482,77362,57142,4986.8,5777.1,16293,435.06,22390,65117,45759,63181,64420,65551,63805,38748,37904,41039,62865,30247,30923,3066.1,3373.2,7987,290.24,9518.7,24529,20837,38508,24429,24796,38915,31591,18929,49281,1.27E+05,15471,25662,972.82,1268.6,2833,192.91,2665.7,6701.1,7453.8,17693,6694,6640.6,17600,31441,16302,53035,1.52E+05,10820,25909,447.97,783.04,1991.9,140.9,1203.6,2551.9,3974.8,11780,2505.8,2392.7,11779,0.098567,0
9.51E+05,7.74E+05,5.10E+05,4.25E+05,4.25E+05,2.18E+05,19212,26439,50143,2609.4,61248,2.70E+05,2.42E+05,2.21E+05,2.73E+05,2.74E+05,2.23E+05,80031,1.12E+05,66922,72486,77399,57129,4984.8,5777.3,16289,434.93,22403,65137,45707,63162,64440,65571,63787,38719,37889,41003,62850,30229,30919,3065.9,3375,7983.9,290.13,9522.7,24540,20810,38476,24440,24807,38882,31575,18917,49227,1.27E+05,15459,25646,972.33,1268,2829.8,192.9,2665,6701.4,7440.3,17653,6694.2,6640.7,17561,31418,16289,52982,1.52E+05,10815,25891,447.69,782,1986.5,140.85,1202.1,2549.2,3963.6,11744,2503,2390.5,11743,0.090836,0
9.53E+05,7.74E+05,5.10E+05,4.26E+05,4.25E+05,2.18E+05,19226,26438,50172,2610.6,61323,2.70E+05,2.42E+05,2.21E+05,2.73E+05,2.74E+05,2.23E+05,80096,1.12E+05,66965,72513,77450,57114,4981.1,5779.8,16289,434.75,22414,65175,45672,63155,64477,65608,63781,38700,37881,40977,62833,30211,30917,3066.7,3377.2,7982.4,290.07,9528.2,24551,20793,38457,24449,24817,38864,31564,18909,49176,1.27E+05,15450,25635,972.13,1267.7,2827.7,192.91,2664.9,6701.2,7430.2,17625,6694.2,6640.4,17533,31397,16280,52927,1.52E+05,10811,25875,447.49,781.25,1982.5,140.79,1201,2547.5,3955.1,11718,2501.3,2389,11717,0.089674,0
9.52E+05,7.74E+05,5.10E+05,4.26E+05,4.25E+05,2.18E+05,19221,26428,50179,2612.2,61339,2.70E+05,2.41E+05,2.21E+05,2.74E+05,2.74E+05,2.23E+05,80078,1.12E+05,66979,72530,77505,57110,4979.4,5783.6,16291,434.54,22431,65223,45662,63171,64526,65654,63798,38690,37882,40964,62807,30208,30913,3067.6,3379.9,7982,290,9533.4,24562,20784,38445,24459,24828,38853,31556,18906,49145,1.27E+05,15442,25629,972.21,1267.5,2826.5,192.87,2665.3,6700.5,7423.6,17605,6693.8,6640,17514,31383,16275,52892,1.52E+05,10809,25864,447.35,780.83,1979.8,140.76,1200.3,2546.3,3949.5,11701,2500.2,2388.2,11700,0.089465,0
9.52E+05,7.74E+05,5.10E+05,4.26E+05,4.25E+05,2.18E+05,19212,26422,50171,2610.2,61311,2.70E+05,2.41E+05,2.21E+05,2.74E+05,2.74E+05,2.23E+05,80049,1.12E+05,66970,72514,77510,57098,4978.1,5785.1,16292,434.49,22438,65228,45651,63173,64529,65658,63802,38677,37873,40949,62775,30204,30913,3068.4,3381.8,7982.4,290,9537.2,24564,20779,38439,24462,24831,38848,31549,18904,49111,1.27E+05,15440,25627,972.32,1267.3,2826,192.85,2665.2,6699.5,7420.6,17595,6692.9,6639.1,17505,31377,16270,52853,1.52E+05,10806,25859,447.25,780.56,1978.5,140.75,1199.9,2545.9,3946.9,11692,2499.8,2387.8,11690,0.09056,0
6.76E+05,9.53E+05,4.38E+05,3.55E+05,3.50E+05,2.48E+05,17019,22034,42712,1770.4,57732,2.47E+05,1.21E+05,1.95E+05,2.48E+05,2.47E+05,1.96E+05,98745,1.40E+05,77142,82108,76904,63101,4992.3,5353.9,17869,392.25,18737,63421,34449,59788,63371,63623,59380,39062,40657,36599,51688,28251,30271,2564.1,3199,8081.5,294.26,7820.5,23446,12723,25218,23802,24100,25130,74771,48886,56602,1.44E+05,24423,34517,1362.9,1667.9,2333.1,202.61,2484.5,9292,4899.5,9831.4,9167.7,9369.2,9893.1,1.03E+05,34320,57690,1.36E+05,18646,24054,911.03,880.37,1206.1,151.78,1027.1,3949.3,2204,5691.3,3990.5,4057.1,5715.3,0.094417,0
6.76E+05,9.52E+05,4.38E+05,3.55E+05,3.49E+05,2.48E+05,17029,22006,42700,1769.4,57745,2.47E+05,1.21E+05,1.95E+05,2.48E+05,2.47E+05,1.96E+05,98739,1.40E+05,77117,82093,76877,63078,4987.6,5353.1,17869,392.26,18739,63426,34448,59781,63376,63629,59374,39082,40667,36612,51700,28256,30276,2564.9,3199.7,8083.3,294.28,7822.3,23447,12725,25226,23802,24100,25136,74825,48920,56645,1.44E+05,24435,34534,1363.5,1668.6,2333.7,202.62,2485.3,9294.5,4900.6,9834.7,9170.2,9371.9,9896.5,1.04E+05,34340,57733,1.36E+05,18654,24060,911.51,880.82,1206.5,151.82,1027.4,3951.4,2204.6,5691.7,3992.8,4059.3,5716,0.1002,0
6.76E+05,9.52E+05,4.38E+05,3.55E+05,3.49E+05,2.48E+05,17038,21982,42684,1768.1,57740,2.47E+05,1.21E+05,1.95E+05,2.47E+05,2.47E+05,1.96E+05,98702,1.40E+05,77079,82092,76840,63054,4984.1,5353,17868,392.25,18742,63422,34445,59769,63372,63626,59361,39108,40675,36633,51716,28262,30281,2565.8,3200.2,8085,294.35,7822.6,23441,12725,25229,23796,24095,25139,74926,48989,56722,1.44E+05,24458,34566,1364.3,1669.8,2334.1,202.58,2486.4,9298.3,4902.1,9838.9,9174,9375.9,9900.9,1.04E+05,34383,57804,1.36E+05,18671,24072,912.48,881.59,1207.5,151.83,1027.8,3955.6,2205.9,5694.5,3997.1,4063.5,5718.7,0.10655,0
