DELTA_FT7,DELTA_FT8,DELTA_T7,DELTA_T8,DELTA_TP7,DELTA_TP8,DELTA_CP1,DELTA_CP2,DELTA_P1,DELTA_PZ,DELTA_P2,DELTA_PO3,DELTA_POZ,DELTA_PO4,DELTA_O1,DELTA_OZ,DELTA_O2,TETHA_FT7,TETHA_FT8,TETHA_T7,TETHA_T8,TETHA_TP7,TETHA_TP8,TETHA_CP1,TETHA_CP2,TETHA_P1,TETHA_PZ,TETHA_P2,TETHA_PO3,TETHA_POZ,TETHA_PO4,TETHA_O1,TETHA_OZ,TETHA_O2,ALPHA_FT7, ALPHA_FT8,ALPHA_T7,ALPHA_T8,ALPHA_TP7,ALPHA_TP8,ALPHA_CP1,ALPHA_CP2,ALPHA_P1,ALPHA_PZ,ALPHA_P2,ALPHA_PO3,ALPHA_POZ,ALPHA_PO4,ALPHA_O1,ALPHA_OZ,ALPHA_O2,BETA_FT7, BETA_FT8,BETA_T7,BETA_T8,BETA_TP7,BETA_TP8,BETA_CP1,BETA_CP2,BETA_P1,BETA_PZ,BETA_P2,BETA_PO3,BETA_POZ,BETA_PO4,BETA_O1,BETA_OZ,BETA_O2,GAMMA_FT7, GAMMA_FT8,GAMMA_T7,GAMMA_T8,GAMMA_TP7,GAMMA_TP8,GAMMA_CP1,GAMMA_CP2,GAMMA_P1,GAMMA_PZ,GAMMA_P2,GAMMA_PO3,GAMMA_POZ,GAMMA_PO4,GAMMA_O1,GAMMA_OZ,GAMMA_O2,percol,label
1646900,1893100,1185500,719510,983240,690850,53344,48415,206840,195710,222420,549050,898800,434320,731730,744410,707240,276520,352810,254930,194830,183820,188470,12846,14571,40577,37161,40225,110440,147620,130140,159290,151720,220700,121520,113360,217050,95368,73498,91991,6570.9,6162.7,20427,17386,25161,71338,76877,166040,99900,86153,299930,155920,133730,884710,191210,77872,180370,3237,3794.9,9998.9,9742.1,14972,40307,32908,108090,55905,36422,193700,176350,135710,1019500,184700,90372,174510,1641.1,2000.9,4305.9,5147.9,9325.6,35048,22457,98910,50248,26841,191330,0.31865,0
1647500,1893500,1186000,719610,983670,690940,53342,48429,206840,195670,222440,548880,899140,434290,731700,744300,707200,276610,352760,254920,194780,183860,188420,12848,14568,40570,37153,40232,110440,147680,130180,159290,151740,220750,121510,113330,217090,95344,73519,91968,6571.3,6163.5,20425,17381,25157,71261,76844,165970,99767,86083,299800,155910,133700,884770,191190,77891,180350,3237,3795.2,9995.7,9741.5,14973,40274,32907,108090,55840,36413,193700,176320,135690,1019500,184680,90391,174500,1641,2000.4,4301.9,5145.2,9323.4,35004,22442,98887,50156,26819,191270,0.32886,0
1647300,1893600,1185600,719570,983090,690870,53294,48440,206590,195480,222330,548100,899390,433710,730750,743210,706260,276780,352710,254970,194760,183910,188400,12845,14569,40556,37140,40248,110410,147760,130220,159250,151710,220810,121550,113320,217130,95341,73571,91966,6572.5,6163.4,20425,17379,25156,71194,76848,165960,99644,86043,299780,155930,133660,884800,191150,77924,180310,3236.6,3795.5,9990.3,9741.9,14976,40237,32913,108120,55769,36413,193750,176330,135680,1019500,184670,90445,174480,1641,2000.5,4297.6,5142.9,9321.4,34959,22428,98860,50053,26801,191200,0.32321,0
1647000,1894300,1185100,719740,982630,691030,53267,48463,206440,195390,222330,547540,900290,433260,730050,742390,705550,276970,352630,255050,194710,183930,188360,12841,14570,40551,37140,40275,110390,147920,130300,159230,151710,220940,121570,113320,217130,95323,73591,91951,6572.8,6163.8,20421,17370,25149,71127,76857,165880,99525,85976,299650,155980,133660,884910,191170,77984,180330,3237.1,3796.3,9989.5,9745.9,14980,40228,32930,108120,55734,36422,193750,176380,135710,1019800,184740,90540,174540,1641.6,2000.9,4295.6,5142.4,9319,34944,22425,98823,49988,26795,191100,0.31043,0
1646900,1894900,1184700,719450,981990,690710,53247,48475,206340,195310,222190,546980,898460,432840,729380,741630,704880,277230,352580,255170,194690,184000,188340,12838,14573,40542,37133,40286,110360,147740,130300,159220,151690,220960,121590,113310,217080,95302,73585,91930,6575,6163.6,20423,17363,25142,71074,76769,165770,99424,85899,299450,155980,133650,884980,191220,77965,180380,3237.2,3796.3,9991,9751,14986,40218,32934,108120,55719,36430,193770,176330,135700,1019600,184720,90409,174520,1640.1,1999.1,4292.7,5140.8,9313.6,34899,22415,98771,49924,26784,191010,0.31339,0
1646700,1894600,1184200,719190,981220,690440,53217,48507,206250,195270,222160,546460,897210,432570,728740,740940,704290,277420,352650,255210,194760,184020,188410,12833,14576,40533,37131,40297,110340,147610,130310,159210,151680,221010,121620,113300,217090,95297,73573,91924,6577.4,6164.2,20426,17360,25139,71041,76721,165740,99359,85850,299420,155930,133630,884920,191230,77952,180390,3237.3,3796.9,9994.8,9758.9,14994,40225,32954,108180,55732,36449,193880,176230,135660,1019300,184620,90313,174430,1638.9,1997.8,4291.2,5141,9311.8,34872,22417,98763,49889,26784,191010,0.3113,0
1647000,1894400,1184100,718980,980860,690220,53199,48512,206220,195260,222100,546140,896550,432390,728320,740490,703840,277590,352640,255280,194790,184060,188440,12830,14575,40522,37120,40297,110310,147530,130320,159170,151670,221060,121640,113300,217100,95308,73581,91936,6579.5,6164.3,20429,17355,25132,71023,76678,165660,99325,85819,299280,155900,133620,884920,191250,77944,180410,3237.4,3797.3,9996.4,9760.3,14995,40223,32952,108170,55730,36447,193870,176160,135610,1019200,184560,90265,174370,1638.3,1997,4289,5138.6,9308.6,34848,22405,98732,49857,26769,190960,0.30903,0
967430,1193500,719190,623520,727870,602180,38192,45555,174150,151360,151000,450880,928190,402370,648430,651460,644240,155310,205680,173740,126740,121990,123890,11292,11135,37457,32648,29903,101380,148920,109510,138280,128300,181340,95266,74135,182450,70913,68562,68604,6216.1,5918.4,20023,17178,22520,82070,73104,117370,119530,77761,201140,149060,120600,875010,208220,96054,194850,3071.5,3480.5,9746.6,8673.9,12403,57106,33069,95892,82336,39905,168730,159830,131510,934470,212110,123590,198470,2191.9,2153,5439.2,5644.1,9145.8,58019,23789,100490,85169,34815,190130,0.30744,0
967290,1192100,719260,623130,727920,601820,38179,45541,174010,151240,150930,450620,928540,402140,648030,650950,643900,155190,205550,173640,126730,121940,123890,11292,11135,37454,32644,29902,101360,148970,109500,138250,128260,181320,95260,74124,182440,70909,68572,68602,6213.7,5919.3,20016,17178,22526,82078,73138,117400,119570,77776,201220,149020,120560,875040,208160,96077,194800,3071.2,3480.1,9745.4,8674.1,12403,57133,33080,95922,82377,39916,168770,159790,131500,934360,212120,123660,198480,2192.6,2153.8,5440.9,5646.5,9149,58050,23799,100530,85207,34830,190190,0.30628,0
965970,1190900,718720,622760,727420,601450,38161,45530,173900,151120,150870,450390,925540,401990,647720,650580,643610,155000,205420,173540,126740,121890,123900,11289,11137,37459,32650,29912,101350,148720,109530,138240,128280,181350,95196,74089,182420,70903,68550,68595,6207.8,5918.2,20009,17176,22525,82053,73056,117400,119540,77764,201210,148950,120530,874790,208030,95963,194690,3069.8,3479.2,9744.6,8673,12404,57135,33069,95944,82415,39921,168830,159700,131470,933950,212070,123460,198440,2191.4,2153.1,5441.3,5645.4,9148,58035,23799,100540,85241,34824,190200,0.30469,0
