DELTA_FT7,DELTA_FT8,DELTA_T7,DELTA_T8,DELTA_TP7,DELTA_TP8,DELTA_CP1,DELTA_CP2,DELTA_P1,DELTA_PZ,DELTA_P2,DELTA_PO3,DELTA_POZ,DELTA_PO4,DELTA_O1,DELTA_OZ,DELTA_O2,TETHA_FT7,TETHA_FT8,TETHA_T7,TETHA_T8,TETHA_TP7,TETHA_TP8,TETHA_CP1,TETHA_CP2,TETHA_P1,TETHA_PZ,TETHA_P2,TETHA_PO3,TETHA_POZ,TETHA_PO4,TETHA_O1,TETHA_OZ,TETHA_O2,ALPHA_FT7, ALPHA_FT8,ALPHA_T7,ALPHA_T8,ALPHA_TP7,ALPHA_TP8,ALPHA_CP1,ALPHA_CP2,ALPHA_P1,ALPHA_PZ,ALPHA_P2,ALPHA_PO3,ALPHA_POZ,ALPHA_PO4,ALPHA_O1,ALPHA_OZ,ALPHA_O2,BETA_FT7, BETA_FT8,BETA_T7,BETA_T8,BETA_TP7,BETA_TP8,BETA_CP1,BETA_CP2,BETA_P1,BETA_PZ,BETA_P2,BETA_PO3,BETA_POZ,BETA_PO4,BETA_O1,BETA_OZ,BETA_O2,GAMMA_FT7, GAMMA_FT8,GAMMA_T7,GAMMA_T8,GAMMA_TP7,GAMMA_TP8,GAMMA_CP1,GAMMA_CP2,GAMMA_P1,GAMMA_PZ,GAMMA_P2,GAMMA_PO3,GAMMA_POZ,GAMMA_PO4,GAMMA_O1,GAMMA_OZ,GAMMA_O2,percol,label
1128800,883090,500300,635560,503460,671260,51626,76798,212290,187290,306030,539440,537800,462820,1037900,988540,863600,109730,110660,73618,99020,74287,100120,8378.7,9913.2,29471,21645,34915,79392,57595,55897,113120,106140,105610,81256,68948,70587,69442,69964,76968,8113.3,8307.4,31590,13883,26892,102760,32085,47493,93799,79884,83683,46823,38990,74044,58834,69313,40576,5811.5,5015.8,21587,8521.5,16620,76118,18325,30131,67013,51569,48447,31506,17845,46828,28867,43743,21128,2939.8,2185.4,14133,5308.2,12139,65966,11380,26401,52152,35589,35804,0.083283,0
1129300,883300,500550,635660,503710,671140,51650,76818,212370,187360,306150,539630,538010,462950,1038100,988910,863840,109750,110650,73622,98990,74290,100090,8377.3,9912.3,29469,21641,34905,79387,57595,55881,113130,106150,105610,81242,68949,70578,69446,69954,76959,8113.1,8306.9,31580,13880,26892,102710,32080,47494,93800,79881,83690,46817,38981,74039,58837,69307,40575,5811,5015.4,21586,8521.5,16621,76117,18323,30130,67011,51572,48450,31486,17842,46811,28861,43726,21127,2936.9,2184.7,14130,5307.1,12138,65962,11378,26400,52151,35586,35801,0.12729,0
1129500,883800,500750,636150,503910,671080,51694,76827,212470,187410,306200,539800,538280,463060,1038500,989470,864000,109760,110650,73620,98976,74290,100070,8376.6,9914.4,29476,21644,34906,79415,57613,55882,113150,106170,105620,81242,68959,70583,69446,69958,76953,8115.3,8307.1,31577,13877,26891,102680,32073,47491,93759,79854,83697,46801,38972,74021,58832,69290,40571,5808.3,5014.7,21582,8519.7,16621,76118,18320,30130,67008,51571,48447,31458,17834,46796,28852,43712,21129,2934.2,2184.2,14128,5306.6,12136,65960,11377,26398,52147,35582,35801,0.16934,0
1130100,884480,501070,636940,504210,671020,51714,76810,212390,187270,306120,539640,538000,462930,1038500,989180,863810,109810,110720,73584,98988,74253,100070,8377.3,9912.5,29467,21645,34902,79408,57612,55875,113130,106160,105610,81234,68980,70594,69462,69969,76943,8116.3,8305.7,31569,13873,26881,102650,32065,47474,93699,79806,83680,46791,38970,74012,58844,69281,40570,5806.4,5013,21578,8517.4,16619,76114,18314,30127,66985,51549,48430,31445,17829,46796,28846,43712,21136,2932,2184,14119,5304.2,12137,65930,11374,26398,52134,35570,35801,0.19802,0
1129600,884630,501290,637190,504430,670890,51736,76768,212400,187200,306100,539630,537880,462870,1038900,989080,863670,109870,110780,73573,98998,74241,100090,8381.3,9912.4,29468,21647,34904,79420,57618,55878,113130,106160,105610,81242,68992,70622,69461,69997,76929,8118.6,8304.1,31558,13869,26875,102610,32053,47468,93628,79749,83651,46789,38958,74028,58843,69294,40559,5805.5,5011.4,21575,8515.7,16616,76108,18306,30122,66949,51520,48409,31446,17828,46805,28845,43718,21140,2931.1,2183.4,14112,5301.2,12133,65901,11369,26388,52113,35553,35788,0.21911,0
1129600,884920,501850,637550,504990,670860,51781,76756,212510,187210,306170,539800,537880,462920,1039800,989280,863790,109920,110830,73593,99014,74261,100130,8387.6,9913.7,29479,21655,34917,79445,57634,55894,113170,106190,105630,81269,69017,70666,69485,70041,76927,8122.5,8301.7,31553,13867,26864,102570,32047,47451,93588,79726,83661,46796,38955,74052,58845,69318,40563,5806,5010.9,21577,8515.7,16616,76119,18304,30120,66928,51508,48407,31448,17832,46806,28846,43718,21143,2930.5,2183.4,14108,5299.9,12132,65889,11367,26385,52117,35551,35785,0.22449,0
1129700,885240,501740,637890,504870,670770,51795,76731,212480,187150,306040,539660,537640,462740,1039700,988890,863560,109940,110890,73574,99012,74243,100090,8387.6,9911.9,29480,21656,34913,79424,57620,55881,113140,106160,105600,81279,69038,70695,69502,70068,76930,8122.5,8301.3,31550,13866,26860,102550,32048,47442,93568,79713,83660,46795,38951,74068,58841,69333,40563,5805.7,5010.5,21578,8515.9,16614,76135,18303,30114,66912,51501,48405,31442,17828,46801,28845,43712,21142,2930,2183.3,14107,5298.9,12130,65886,11366,26379,52117,35545,35779,0.21698,0
3062200,3138300,780830,2173400,769230,811970,101070,101400,283420,291520,323140,581880,568420,474940,1477300,1073900,962140,182190,188700,105810,140950,105700,126740,12620,12230,37276,30340,48076,105700,78162,85533,161700,154450,180770,78302,73913,104470,77633,107260,122320,15664,15493,53825,26708,67788,132980,58891,111390,149260,146400,228130,55896,45400,100510,73387,96248,75926,5852.9,8019.2,21275,11531,42417,80535,29134,79973,106980,89495,131600,35742,18093,64352,36290,60875,35443,2478.7,3039.4,12167,6227.9,22379,61256,15817,48175,62006,51583,91311,0.20443,0
3064900,3141200,781300,2175300,769680,812320,101120,101420,283470,291610,323160,581910,568460,474950,1477800,1074100,962160,182230,188820,105850,141040,105730,126790,12620,12231,37288,30347,48097,105720,78185,85572,161750,154500,180840,78305,73927,104510,77648,107310,122380,15671,15503,53857,26722,67830,133050,58916,111450,149300,146460,228270,55910,45407,100550,73398,96288,75964,5854,8023.5,21280,11537,42445,80571,29149,80027,107030,89541,131680,35751,18097,64380,36296,60902,35463,2479.3,3040.7,12168,6230.3,22393,61267,15825,48205,62021,51600,91372,0.19227,0
3067400,3143400,781810,2172900,770180,812740,101170,101470,283610,291790,323330,582180,568780,475160,1478800,1074700,962440,182190,188880,105850,141030,105730,126870,12622,12229,37311,30361,48123,105780,78229,85624,161830,154590,180980,78306,73930,104520,77651,107310,122410,15683,15508,53912,26745,67864,133170,58936,111520,149290,146500,228440,55919,45411,100560,73389,96292,76004,5856.4,8028.6,21293,11544,42481,80647,29169,80096,107070,89596,131820,35760,18099,64397,36295,60917,35448,2480.4,3040.6,12176,6234.1,22402,61322,15838,48221,62038,51632,91461,0.18067,0
