DELTA_FT7,DELTA_FT8,DELTA_T7,DELTA_T8,DELTA_TP7,DELTA_TP8,DELTA_CP1,DELTA_CP2,DELTA_P1,DELTA_PZ,DELTA_P2,DELTA_PO3,DELTA_POZ,DELTA_PO4,DELTA_O1,DELTA_OZ,DELTA_O2,TETHA_FT7,TETHA_FT8,TETHA_T7,TETHA_T8,TETHA_TP7,TETHA_TP8,TETHA_CP1,TETHA_CP2,TETHA_P1,TETHA_PZ,TETHA_P2,TETHA_PO3,TETHA_POZ,TETHA_PO4,TETHA_O1,TETHA_OZ,TETHA_O2,ALPHA_FT7, ALPHA_FT8,ALPHA_T7,ALPHA_T8,ALPHA_TP7,ALPHA_TP8,ALPHA_CP1,ALPHA_CP2,ALPHA_P1,ALPHA_PZ,ALPHA_P2,ALPHA_PO3,ALPHA_POZ,ALPHA_PO4,ALPHA_O1,ALPHA_OZ,ALPHA_O2,BETA_FT7, BETA_FT8,BETA_T7,BETA_T8,BETA_TP7,BETA_TP8,BETA_CP1,BETA_CP2,BETA_P1,BETA_PZ,BETA_P2,BETA_PO3,BETA_POZ,BETA_PO4,BETA_O1,BETA_OZ,BETA_O2,GAMMA_FT7, GAMMA_FT8,GAMMA_T7,GAMMA_T8,GAMMA_TP7,GAMMA_TP8,GAMMA_CP1,GAMMA_CP2,GAMMA_P1,GAMMA_PZ,GAMMA_P2,GAMMA_PO3,GAMMA_POZ,GAMMA_PO4,GAMMA_O1,GAMMA_OZ,GAMMA_O2,percol,label
2343000,921300,1388500,894450,1155100,877510,93232,109640,288490,283430,340990,967840,744670,859460,984100,1130600,1253800,372600,154380,227040,151060,189250,150410,16365,28919,53892,58561,83434,142090,112740,142540,144240,158060,170740,139550,58867,86480,58881,111300,58425,9107.4,13431,23085,18610,28299,47268,35049,53897,48035,48547,66416,169640,52265,126100,55073,165880,54306,4758.2,7190,10957,10082,15236,34519,20565,43949,34951,27074,55403,114710,33601,87056,36120,150690,35192,1925,2387.7,4402.9,3838.8,6057.3,26917,11328,33233,27363,16060,40221,0.1835,0
2341800,921400,1387900,894530,1154700,877600,93206,109630,288390,283310,341060,967670,744160,859580,983930,1130200,1253700,372620,154390,227120,151070,189310,150410,16366,28924,53907,58571,83461,142120,112750,142540,144270,158090,170760,139560,58841,86464,58854,111280,58397,9104.9,13421,23085,18608,28289,47253,35036,53887,48018,48532,66405,169590,52234,126050,55041,165710,54275,4756.7,7188.2,10954,10083,15236,34496,20558,43945,34927,27066,55411,114640,33568,87013,36085,150510,35159,1924,2387.5,4402.1,3839,6057.1,26898,11329,33220,27343,16058,40228,0.18254,0
2341500,921370,1387700,894450,1153800,877510,93158,109630,288090,283100,341010,966810,743340,859260,983050,1129000,1252500,372850,154460,227280,151130,189390,150470,16366,28930,53910,58580,83477,142150,112750,142560,144300,158120,170790,139560,58823,86472,58835,111250,58379,9100.8,13417,23085,18610,28288,47240,35031,53890,48003,48523,66403,169530,52192,125960,54997,165460,54231,4755.8,7185.8,10951,10085,15237,34470,20557,43953,34902,27061,55439,114570,33524,86927,36039,150260,35115,1922.8,2386.4,4402.3,3839.4,6056.8,26885,11332,33211,27329,16062,40245,0.18397,0
2342500,921760,1388400,894810,1153200,877840,93124,109620,287830,282970,340960,966250,742680,858970,982460,1128000,1251600,373240,154510,227500,151170,189470,150510,16366,28927,53937,58610,83488,142200,112780,142560,144350,158150,170810,139530,58792,86474,58803,111150,58347,9093.5,13416,23072,18609,28285,47213,35021,53887,47975,48503,66390,169460,52146,125830,54951,165160,54185,4754,7184.6,10950,10089,15241,34446,20562,43974,34878,27060,55484,114500,33485,86815,35997,149950,35075,1921.4,2384.9,4403.2,3840.5,6057.9,26879,11340,33217,27323,16071,40288,0.18445,0
2342100,922340,1388100,895340,1152400,878340,93064,109650,287660,282890,340960,965800,742280,858930,982000,1127200,1251100,373500,154520,227680,151180,189490,150520,16363,28923,53940,58633,83503,142220,112800,142580,144370,158160,170820,139510,58762,86457,58771,111070,58315,9088.8,13411,23065,18605,28282,47188,35010,53889,47949,48480,66392,169410,52114,125720,54917,164930,54151,4753.2,7181.6,10948,10094,15246,34437,20573,44019,34868,27067,55562,114450,33455,86718,35964,149690,35044,1920.6,2384.2,4405.8,3843.4,6062.1,26890,11355,33249,27334,16089,40364,0.18151,0
2342700,923340,1388400,896280,1152200,879240,93056,109690,287600,282800,341010,965900,742160,859210,982100,1127000,1251200,373710,154500,227800,151150,189500,150500,16365,28921,53935,58645,83499,142220,112800,142580,144380,158150,170800,139510,58746,86452,58755,111010,58297,9086.3,13408,23060,18602,28280,47168,35004,53890,47930,48462,66389,169390,52096,125640,54899,164770,54134,4752.9,7178.8,10948,10097,15249,34434,20581,44053,34865,27073,55617,114410,33443,86651,35950,149510,35030,1919.7,2384,4405.2,3844.8,6065.9,26876,11360,33273,27319,16094,40414,0.18583,0
2343600,924030,1388700,896910,1152200,879830,93079,109700,287650,282770,341120,966150,742060,859660,982360,1127100,1251600,373800,154450,227840,151110,189500,150450,16370,28915,53941,58654,83492,142260,112790,142600,144410,158160,170800,139520,58733,86440,58740,110970,58282,9086.2,13406,23057,18602,28282,47157,35003,53902,47917,48451,66413,169410,52097,125620,54899,164710,54134,4753.2,7177.4,10948,10099,15255,34442,20592,44107,34873,27083,55697,114390,33446,86619,35952,149460,35033,1919.5,2384.5,4406.2,3847.9,6073,26882,11372,33322,27325,16110,40495,0.18695,0
2191100,881290,1231000,848360,1021900,832240,118290,195990,299460,281270,355970,728110,563580,727080,731910,876740,762020,317070,145540,204270,143070,167070,141530,20457,24507,53254,53054,78048,115410,98899,127160,115940,138140,174330,95361,57383,76295,57249,65316,56748,8195.3,12414,22835,18150,28169,49334,38041,60737,49424,52456,77997,143760,32614,75479,34926,47152,34622,4198.9,6014.8,10199,9056,14498,33773,20796,47301,34301,27167,68776,96924,16373,41569,18196,22151,17976,1379.8,2071.3,4344.2,4809.8,7826.3,26799,14687,46786,27224,20206,72406,0.18947,0
2191300,881150,1230900,848250,1021700,832130,118300,196100,299470,281260,355920,727960,563470,727030,731770,876710,762100,317190,145580,204330,143110,167110,141570,20458,24505,53257,53073,78060,115440,98898,127160,115980,138190,174390,95345,57388,76300,57253,65336,56751,8196.9,12413,22831,18144,28156,49327,38027,60699,49417,52459,77936,143780,32613,75459,34925,47137,34620,4199.6,6014.1,10195,9048.5,14483,33736,20770,47194,34263,27141,68600,96940,16369,41570,18191,22136,17969,1379.8,2069.9,4340,4801.8,7809.6,26751,14656,46661,27175,20166,72207,0.19289,0
2189400,880760,1229900,847930,1021700,831830,118250,195630,299430,281210,355860,728070,563580,727240,731880,876880,762280,317230,145560,204370,143100,167160,141560,20456,24514,53252,53078,78061,115480,98892,127150,116010,138230,174440,95330,57384,76284,57250,65348,56747,8200.7,12413,22836,18148,28153,49334,38030,60672,49422,52469,77900,143810,32614,75446,34924,47121,34619,4200.9,6012.6,10193,9043,14472,33708,20750,47106,34235,27123,68454,96936,16362,41560,18183,22120,17960,1379.7,2069,4337.1,4796,7796.1,26716,14632,46561,27139,20135,72050,0.19828,0
